Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR
n1zzy,1.15,237.6,1.19,0.74,152.2,0.83,0.28,0.14,0.11,31.0,16.0,2866,2403,980,476,386,0.695
mimi,1.14,215.6,1.21,0.75,142.6,0.78,0.33,0.09,0.07,26.0,16.0,2812,2323,1177,331,263,0.642
DEATHMAKER,1.14,249.6,1.26,0.7,161.1,0.89,0.15,0.19,0.14,31.0,13.0,5527,4397,960,1184,894,0.705
Akai,1.14,258.1,1.19,0.72,167.3,0.89,0.2,0.19,0.16,25.0,17.0,1292,1084,285,271,230,0.75
Chronicle,1.14,223.9,1.17,0.75,144.9,0.77,0.33,0.1,0.09,24.0,15.0,4349,3707,1849,573,523,0.658
f0rsakeN,1.14,252.3,1.21,0.73,159.4,0.88,0.24,0.18,0.14,26.0,16.0,5945,4927,1605,1218,968,0.727
sociablEE,1.14,257.4,1.2,0.72,164.5,0.88,0.2,0.19,0.14,23.0,12.0,4289,3585,976,930,670,0.738
kamo,1.14,263.7,1.24,0.7,171.3,0.93,0.18,0.18,0.16,31.0,15.0,1661,1340,318,317,280,0.751
Alfajer,1.14,233.8,1.26,0.74,155.3,0.84,0.18,0.13,0.1,29.0,18.0,3530,2803,767,526,427,0.667
Smoke,1.14,237.9,1.26,0.72,152.2,0.85,0.17,0.13,0.07,20.0,16.0,1966,1566,397,299,169,0.676
daiki,1.14,212.7,1.18,0.76,137.8,0.75,0.37,0.08,0.07,28.0,19.0,2859,2420,1427,307,256,0.634
elllement,1.14,243.9,1.2,0.72,158.6,0.86,0.18,0.17,0.13,27.0,19.0,3111,2589,640,615,445,0.717
DaviH,1.14,216.2,1.22,0.75,141.6,0.78,0.32,0.09,0.07,26.0,14.0,1880,1541,778,205,162,0.641
Derke,1.14,255.3,1.23,0.71,160.3,0.88,0.19,0.22,0.17,26.0,17.0,5397,4391,1145,1341,1060,0.719
Cryocells,1.14,235.9,1.24,0.72,147.7,0.85,0.18,0.16,0.12,24.0,16.0,4265,3441,895,790,584,0.688
