Player,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"xeus
HOWL",239,1.17,260.9,1.28,74%,172.6,0.92,0.20,0.18,0.17,27%,8%,1/12,29,220,172,48,42,41
"baddyG
ACE",367,1.17,216.5,1.19,74%,145.7,0.74,0.37,0.10,0.09,29%,25%,9/36,24,273,229,137,37,33
"Leosen
OVA",265,1.17,241.5,1.19,72%,155.6,0.83,0.30,0.11,0.13,35%,15%,4/27,25,221,185,80,30,35
"Spaz
TACO",735,1.17,215.5,1.19,77%,138.2,0.75,0.45,0.08,0.07,19%,22%,23/103,31,552,464,334,56,53
"Bob
XSET",230,1.17,228.6,1.29,81%,157.8,0.82,0.27,0.07,0.04,32%,17%,5/29,27,189,147,61,17,9
"Ruxic
FF",216,1.17,234.5,1.29,76%,151.9,0.84,0.34,0.13,0.10,33%,23%,5/22,27,181,140,73,29,22
"Feeqn
OF",289,1.16,239.1,1.20,76%,157.9,0.84,0.24,0.12,0.08,19%,19%,7/37,28,243,202,69,35,22
"Pa1nt
MIND",693,1.16,254.8,1.22,74%,162.6,0.89,0.17,0.20,0.16,27%,24%,11/45,32,615,503,118,141,114
"Kush
GRD",326,1.16,230.4,1.20,74%,155.8,0.79,0.27,0.10,0.09,32%,26%,6/23,27,258,215,89,32,30
"dodonut
FLY.R",678,1.16,220.4,1.16,74%,145.3,0.76,0.40,0.08,0.06,25%,26%,24/92,28,517,446,269,57,42
"dip
Feel",482,1.16,217.7,1.21,76%,145.9,0.78,0.35,0.07,0.07,27%,16%,7/45,26,374,308,169,36,32
"Gdzin
2002",252,1.16,254.5,1.25,74%,164.3,0.88,0.17,0.20,0.16,25%,11%,2/18,36,223,178,43,50,40
"happy
SNG",325,1.16,205.6,1.18,73%,139.1,0.71,0.30,0.05,0.05,24%,13%,7/54,24,232,197,98,16,17
"zekken
SEN",236,1.15,243.8,1.18,73%,161.2,0.83,0.24,0.19,0.20,20%,12%,2/17,30,197,167,56,46,48
"sonder
LIL",428,1.15,255.7,1.12,72%,163.3,0.84,0.32,0.21,0.17,23%,14%,2/14,26,359,321,135,90,71
"Cade3k
TS",543,1.15,246.7,1.26,72%,161.3,0.88,0.19,0.18,0.15,32%,25%,12/48,32,479,379,104,98,80
"WeDid
TTR",544,1.15,204.9,1.21,77%,139.8,0.75,0.41,0.07,0.05,29%,17%,10/60,28,409,339,224,39,29
"sociablEE
FF",216,1.15,226.5,1.14,72%,152.1,0.77,0.28,0.17,0.11,28%,7%,1/14,20,166,145,60,37,23
"toozy
FCN",433,1.14,203.0,1.12,81%,133.1,0.69,0.50,0.06,0.06,25%,17%,9/53,26,298,266,217,28,24
"Snowi
OF",289,1.14,190.3,1.06,75%,122.8,0.69,0.49,0.06,0.05,28%,15%,6/40,20,199,187,142,16,15
"Andersin
BTR",446,1.14,222.6,1.19,72%,150.3,0.83,0.32,0.10,0.09,30%,15%,6/39,26,368,309,141,46,40
"Anq
RGE",263,1.14,230.6,1.25,70%,149.4,0.83,0.16,0.16,0.14,26%,23%,6/26,30,219,175,41,42,38
Dannyy,260,1.14,202.4,1.11,74%,133.1,0.71,0.48,0.07,0.05,29%,15%,5/33,26,185,167,124,18,13
"enerii
SMG.GC",201,1.14,255.6,1.22,74%,159.6,0.91,0.20,0.16,0.16,23%,20%,4/20,28,183,150,40,33,33
hieu,260,1.14,263.5,1.21,68%,167.3,0.90,0.11,0.29,0.19,31%,100%,3/3,26,235,195,28,75,50
"KovaQ
SSP",209,1.13,246.7,1.19,73%,165.7,0.89,0.22,0.08,0.08,32%,24%,11/45,35,185,156,46,17,17
"turkish
CEC",214,1.13,230.8,1.26,70%,155.0,0.82,0.12,0.13,0.08,34%,25%,9/36,24,176,140,26,28,18
"Julia
LIL",428,1.12,208.8,1.16,75%,136.8,0.76,0.33,0.05,0.07,37%,16%,10/61,25,325,280,141,22,32
"Xan
LZ",226,1.12,260.0,1.15,71%,168.4,0.89,0.16,0.19,0.16,27%,14%,2/14,37,202,175,36,44,37
"geeza
Grif",408,1.12,224.8,1.16,72%,148.9,0.79,0.18,0.13,0.07,35%,12%,5/42,28,323,279,75,52,30
"Pain
IluZ",235,1.12,254.5,1.19,71%,166.3,0.90,0.14,0.17,0.14,35%,11%,3/27,26,211,177,33,41,33
"Laz
NKT",354,1.12,212.9,1.21,74%,144.9,0.76,0.28,0.08,0.08,31%,16%,9/56,24,270,223,98,27,30
"renz
WU",324,1.12,211.9,1.23,73%,144.4,0.80,0.28,0.06,0.06,25%,18%,11/62,31,259,210,91,20,21
"Obnoks
MOUZ",280,1.12,230.3,1.22,68%,153.0,0.83,0.12,0.12,0.08,25%,10%,3/29,25,233,191,33,33,22
"Cunha20
SAW",274,1.12,206.5,1.21,75%,132.4,0.76,0.39,0.06,0.05,45%,13%,6/47,28,207,171,107,16,14
"Jayz
2002",252,1.12,217.6,1.29,78%,141.6,0.81,0.31,0.06,0.06,46%,16%,6/38,24,205,159,79,14,15
"Jesmu
OF",289,1.12,203.5,1.08,75%,132.7,0.72,0.42,0.06,0.06,20%,33%,9/27,19,207,192,121,16,18
"Petra
G2.G",208,1.11,248.7,1.19,69%,164.8,0.86,0.15,0.21,0.19,26%,8%,1/13,25,179,151,32,43,40
