Player,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"BuZz
DRX",1391,1.06,227.1,1.10,72%,145.8,0.78,0.22,0.16,0.15,22%,14%,17/123,36,1091,993,312,220,209
"nukkye
GX",756,1.05,201.4,1.05,72%,139.1,0.71,0.31,0.07,0.07,22%,17%,17/103,30,538,514,234,53,53
"Jinggg
PRX",1233,1.05,233.6,1.08,72%,156.3,0.80,0.26,0.14,0.13,18%,11%,8/73,29,984,911,315,167,157
"sheydos
KOI",585,1.05,188.7,1.09,73%,125.9,0.71,0.24,0.05,0.05,28%,19%,18/95,36,416,380,143,30,32
"Yosemite
BLG",585,1.05,206.7,1.04,73%,133.3,0.73,0.28,0.10,0.08,23%,19%,7/37,26,425,409,162,24,18
"C0M
EG",1591,1.04,185.5,1.01,73%,122.1,0.65,0.35,0.07,0.07,21%,20%,47/236,28,1035,1026,558,110,116
"f0rsakeN
PRX",1251,1.04,220.0,1.05,73%,144.3,0.76,0.29,0.15,0.12,26%,9%,8/88,30,950,905,365,187,148
"hoody
GX",756,1.04,203.9,1.00,72%,135.7,0.70,0.35,0.09,0.09,25%,8%,9/112,25,531,530,268,68,67
"Cryocells
100T",693,1.04,223.1,1.07,71%,142.7,0.78,0.24,0.18,0.17,21%,9%,6/67,33,543,507,168,125,115
"zekken
SEN",632,1.04,234.0,1.08,71%,157.6,0.79,0.27,0.14,0.15,22%,22%,14/65,31,499,464,168,86,92
"DaveeyS
KRÜ",810,1.04,187.7,1.03,72%,124.7,0.67,0.29,0.09,0.09,26%,18%,19/106,31,545,530,235,70,72
"ardiis
NAVI",1351,1.04,216.1,1.07,72%,143.4,0.74,0.24,0.18,0.14,19%,13%,16/127,29,1003,938,318,239,181
"Munchkin
GEN",960,1.03,209.4,1.08,69%,141.2,0.73,0.21,0.10,0.11,22%,15%,21/141,26,697,648,202,95,110
"Zellsis
SEN",822,1.03,184.3,1.02,73%,123.6,0.65,0.28,0.07,0.08,18%,21%,26/124,22,531,523,230,56,69
"Boaster
FNC",1280,1.02,171.5,0.93,76%,105.6,0.59,0.44,0.08,0.09,19%,33%,29/89,20,755,810,557,101,119
"qw1
FF",969,1.02,219.1,1.12,68%,139.7,0.80,0.12,0.19,0.17,25%,16%,15/96,31,776,691,120,185,163
"t3xture
GEN",445,1.02,218.8,1.11,71%,139.1,0.80,0.15,0.14,0.11,28%,16%,9/55,28,354,320,66,62,50
"jawgemo
EG",1591,1.02,213.3,0.99,73%,138.5,0.73,0.31,0.12,0.13,19%,15%,15/98,26,1155,1162,497,193,207
"BORKUM
TS",779,1.02,181.6,0.94,75%,117.9,0.63,0.46,0.07,0.07,20%,19%,19/100,24,492,524,357,51,58
